City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Scottsdale, Arizona","1,341","246,645",184,
"Scranton, Pennsylvania","3,054","77,291",25,
"Seattle, Washington","8,391","704,352",84,
"Shawnee, Kansas","1,558","65,194",42,
"Shoreline, Washington","4,741","55,333",12,
"Shreveport, Louisiana","1,850","194,920",105,
"Simi Valley, California","3,045","126,327",41,
"Sioux City, Iowa","1,445","82,872",57,
"Sioux Falls, South Dakota","2,390","174,360",73,
"Skokie, Illinois","6,389","64,270",10,
"Smyrna, Georgia","3,691","56,664",15,
"Somerville, Massachusetts","19,738","81,322",4,
"South Bend, Indiana","2,454","101,735",41,
"South Gate, California","13,196","95,538",7,
"South Jordan, Utah","3,131","69,034",22,
"South San Francisco, California","7,328","66,980",9,
"Southaven, Mississippi","1,290","53,214",41,
"Southfield, Michigan","2,783","73,100",26,
"Sparks, Nevada","2,750","98,345",36,
"Spokane Valley, Washington","2,551","96,340",38,
"Spokane, Washington","3,645","215,973",59,
"Springdale, Arkansas","1,879","78,557",42,
"Springfield, Illinois","1,945","115,715",59,
"Springfield, Massachusetts","4,834","154,074",32,
"Springfield, Missouri","2,047","167,319",82,
"Springfield, Ohio","2,336","59,087",25,
"Springfield, Oregon","3,932","61,893",16,
"St. Charles, Missouri","2,930","69,293",24,
"St. Clair Shores, Michigan","5,144","59,775",12,
"St. Cloud, Minnesota","1,689","67,641",40,
"St. George, Utah","1,169","82,318",70,
"St. Joseph, Missouri","1,738","76,472",44,
"St. Louis, Missouri","5,030","311,404",62,
"St. Paul, Minnesota","5,818","302,398",52,
"St. Peters, Missouri","2,561","57,289",22,
"St. Petersburg, Florida","4,227","260,999",62,
"Stamford, Connecticut","3,430","129,113",38,
"Sterling Heights, Michigan","3,628","132,427",37,
"Stockton, California","4,979","307,072",62,
"Suffolk, Virginia",223,"89,273",400,
"Sugar Land, Texas","2,723","88,177",32,
"Sunnyvale, California","6,947","152,771",22,
"Sunrise, Florida","5,179","93,734",18,
"Surprise, Arizona","1,255","132,677",106,
"Syracuse, New York","5,726","143,378",25,
"Tacoma, Washington","4,249","211,277",50,
"Tallahassee, Florida","1,904","190,894",100,
"Tamarac, Florida","5,611","65,199",12,
"Tampa, Florida","3,326","377,165",113,
"Taunton, Massachusetts","1,217","56,843",47,
"Taylor, Michigan","2,592","61,177",24,
"Taylorsville, Utah","5,570","60,436",11,
"Temecula, California","3,750","113,054",30,
"Tempe, Arizona","4,570","182,498",40,
"Temple, Texas","1,067","73,600",69,
"Terre Haute, Indiana","1,762","60,852",35,
"Thornton, Colorado","3,924","136,703",35,
"Thousand Oaks, California","2,342","128,888",55,
"Tigard, Oregon","4,395","51,902",12,
"Tinley Park, Illinois","3,548","56,831",16,
"Toledo, Ohio","3,452","278,508",81,
"Topeka, Kansas","2,107","126,808",60,
"Torrance, California","7,187","147,195",20,
"Tracy, California","4,058","89,274",22,
"Trenton, New Jersey","10,988","84,056",8,
"Troy, Michigan","2,499","83,641",33,
"Tucson, Arizona","2,341","530,706",227,
"Tulare, California","2,999","62,779",21,
"Tulsa, Oklahoma","2,049","403,090",197,
"Turlock, California","4,300","72,796",17,
"Tuscaloosa, Alabama","1,653","99,543",60,
"Tustin, California","7,256","80,395",11,
"Tyler, Texas","1,946","104,798",54,
"Union City, California","3,869","75,322",19,
"Union City, New Jersey","54,138","69,296",1,
"Upland, California","4,909","76,684",16,
"Urban Honolulu, Hawaii","5,813","351,792",61,
"Utica, New York","3,619","60,652",17,
"Vacaville, California","3,465","98,303",28,
"Valdosta, Georgia","1,576","56,474",36,
"Vallejo, California","3,955","121,299",31,
"Vancouver, Washington","3,763","174,826",46,
"Victoria, Texas","1,907","67,670",35,
"Victorville, California","1,671","122,265",73,
"Vineland, New Jersey",885,"60,525",68,
"Virginia Beach, Virginia","1,818","452,602",249,
"Visalia, California","3,616","131,074",36,
"Vista, California","5,442","101,659",19,
"Waco, Texas","1,511","134,432",89,
"Walnut Creek, California","3,498","69,122",20,
"Waltham, Massachusetts","4,949","63,002",13,
"Warner Robins, Georgia","2,121","74,388",35,
"Warren, Michigan","3,930","135,125",34,
"Warwick, Rhode Island","2,328","81,579",35,
"Washington, District of Columbia","11,158","681,170",61,
"Waterbury, Connecticut","3,796","108,272",29,
"Waterloo, Iowa","1,107","67,934",61,
"Watsonville, California","8,041","53,796",7,
"Waukegan, Illinois","3,725","88,182",24,
"Waukesha, Wisconsin","2,917","72,363",25,
"Wellington, Florida","1,423","63,900",45,
"West Allis, Wisconsin","5,280","60,087",11,
"West Covina, California","6,724","107,847",16,
"West Des Moines, Iowa","1,673","64,560",39,
"West Haven, Connecticut","5,071","54,516",11,
"West Jordan, Utah","3,503","113,699",32,
"West New York, New Jersey","52,815","53,343",1,
"West Palm Beach, Florida","1,956","108,161",55,
"West Sacramento, California","2,472","52,981",21,
"West Valley City, Utah","3,841","136,574",36,
"Westland, Michigan","3,993","81,545",20,
"Westminster, California","9,111","91,565",10,
"Westminster, Colorado","3,609","113,875",32,
"Weston, Florida","2,783","70,015",25,
"Weymouth Town, Massachusetts","3,334","55,972",17,
"Wheaton, Illinois","4,746","53,389",11,
"White Plains, New York","5,961","58,241",10,
"Whittier, California","5,931","86,883",15,
"Wichita Falls, Texas","1,452","104,724",72,
"Wichita, Kansas","2,448","389,902",159,
"Wilmington, Delaware","6,554","71,442",11,
"Wilmington, North Carolina","2,282","117,525",51,
"Winston-Salem, North Carolina","1,829","242,203",132,
"Woodbury, Minnesota","1,982","68,820",35,
"Woodland, California","3,861","59,068",15,
"Worcester, Massachusetts","4,937","184,508",37,
"Wyoming, Michigan","3,067","75,567",25,
"Yakima, Washington","3,458","93,986",27,
"Yonkers, New York","11,150","200,807",18,
"Yorba Linda, California","3,503","68,235",19,
"Youngstown, Ohio","1,894","64,312",34,
"Yuba City, California","4,585","66,845",15,
"Yucaipa, California","1,911","53,309",28,
"Yuma, Arizona",789,"94,906",120,
