City,Population density,2016 Population,Land Area,http://www.governing.com/gov-data/population-density-land-area-cities-map.html
"Columbus, Georgia",913,"197,485",216,
"Columbus, Ohio","3,960","860,090",217,
"Commerce City, Colorado","1,600","54,869",34,
"Compton, California","9,745","97,550",10,
"Concord, California","4,214","128,726",31,
"Concord, North Carolina","1,491","89,891",60,
"Conroe, Texas","1,561","82,286",53,
"Conway, Arkansas","1,440","65,300",45,
"Coon Rapids, Minnesota","2,758","62,359",23,
"Coral Gables, Florida","3,933","50,815",13,
"Coral Springs, Florida","5,467","130,059",24,
"Corona, California","4,295","166,785",39,
"Corpus Christi, Texas","2,028","325,733",161,
"Corvallis, Oregon","4,042","57,110",14,
"Costa Mesa, California","7,209","112,822",16,
"Council Bluffs, Iowa","1,526","62,524",41,
"Cranston, Rhode Island","2,859","81,034",28,
"Cupertino, California","5,386","60,643",11,
"Dallas, Texas","3,870","1,317,929",341,
"Daly City, California","13,900","106,472",8,
"Danbury, Connecticut","2,029","84,992",42,
"Davenport, Iowa","1,630","102,612",63,
"Davie, Florida","2,920","101,871",35,
"Davis, California","6,887","68,111",10,
"Dayton, Ohio","2,525","140,489",56,
"Daytona Beach, Florida","1,141","66,645",58,
"Dearborn Heights, Michigan","4,750","55,761",12,
"Dearborn, Michigan","3,899","94,444",24,
"Decatur, Alabama","1,026","55,072",54,
"Decatur, Illinois","1,722","72,706",42,
"Deerfield Beach, Florida","5,286","79,764",15,
"Delano, California","3,686","52,707",14,
"Delray Beach, Florida","4,261","67,371",16,
"Deltona, Florida","2,401","90,124",38,
"Denton, Texas","1,521","133,808",88,
"Denver, Colorado","4,530","693,060",153,
"Des Moines, Iowa","2,664","215,472",81,
"Des Plaines, Illinois","4,071","58,141",14,
"DeSoto, Texas","2,433","52,599",22,
"Detroit, Michigan","4,849","672,795",139,
"Diamond Bar, California","3,817","56,793",15,
"Doral, Florida","4,175","57,947",14,
"Dothan, Alabama",766,"68,468",89,
"Downey, California","9,127","113,267",12,
"Dublin, California","3,996","59,583",15,
"Dubuque, Iowa","1,953","58,531",30,
"Duluth, Minnesota","1,273","86,293",68,
"Durham, North Carolina","2,450","263,016",107,
